pitch_accel	pitch angle	motor0	motor1	motor2	motor3
-4.291416	-12.596454	1291	1308	1291	1308
-15.139696	-21.283585	1253	1346	1253	1346
14.646571	-13.858357	1335	1264	1335	1264
4.489051	-10.834802	1313	1286	1313	1286
-10.965977	-17.133602	1266	1333	1266	1333
9.083879	-11.607449	1326	1273	1326	1273
-5.579469	-15.931782	1276	1323	1276	1323
21.373346	-3.343064	1362	1237	1362	1237
12.902225	4.541225	1339	1260	1339	1260
-17.425440	-5.581540	1248	1351	1248	1351
3.275438	-3.366445	1310	1289	1310	1289
0.609507	-1.714901	1308	1291	1308	1291
-29.272882	-17.500640	1218	1381	1218	1381
25.444803	-3.693718	1368	1231	1368	1231
20.932697	9.179569	1365	1234	1365	1234
-21.152205	-3.234550	1237	1362	1237	1362
9.141751	2.821389	1330	1269	1330	1269
-2.054494	3.757861	1305	1294	1305	1294
-1.327462	1.257852	1287	1312	1287	1312
29.209263	18.311197	1387	1212	1387	1212
-31.239540	3.896122	1228	1371	1228	1371
-17.645851	-6.261751	1248	1351	1248	1351
17.345098	4.742681	1355	1244	1355	1244
-10.251947	-1.729204	1267	1332	1267	1332
-26.464539	-16.385147	1224	1375	1224	1375
-1.030286	-17.132163	1294	1305	1294	1305
6.694987	-11.601602	1326	1273	1326	1273
-9.555085	-18.618712	1262	1337	1262	1337
24.995846	-4.579234	1369	1230	1369	1230
-24.589178	-14.481930	1248	1351	1248	1351
-26.551916	-29.793623	1219	1380	1219	1380
21.596918	-17.779045	1357	1242	1357	1242
6.988455	-12.833986	1323	1276	1323	1276
-13.086771	-21.229643	1255	1344	1255	1344
23.564180	-7.772560	1366	1233	1366	1233
-24.261927	-19.777861	1237	1362	1237	1362
-23.760237	-34.481004	1222	1377	1222	1377
-5.422697	-41.635323	1258	1341	1258	1341
19.316874	-27.049315	1369	1230	1369	1230
-22.552891	-39.488372	1232	1367	1232	1367
8.956034	-36.851057	1308	1291	1308	1291
33.717491	-17.261404	1395	1204	1395	1204
-27.316525	-31.292754	1225	1374	1225	1374
-23.943342	-46.848568	1216	1383	1216	1383
-30.866669	-63.480359	1208	1391	1208	1391
-24.155834	-77.989888	1217	1382	1217	1382
19.649015	-64.745599	1357	1242	1357	1242
-9.407598	-67.124301	1279	1320	1279	1320
-5.019212	-71.427691	1269	1330	1269	1330
